Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\.DS_Store, \, .DS_Store, 53252B, 2010/06/02, 2020/02/21, 0, BYUI\huffn
\\lehi3\www$\AcademicPrograms.htm, \, .htm, 7178B, 2006/03/31, 2010/02/03, 0, S-1-5-21-1606980848-308236825-1801674531-31800
\\lehi3\www$\AcademicPrograms.htm.bak, \, .bak, 2721B, 2006/03/31, 2005/11/14, 0, BUILTIN\Administrators
\\lehi3\www$\AcademicPrograms[1].txt, \, .txt, 2620B, 2006/07/19, 2006/07/19, 0, BUILTIN\Administrators
\\lehi3\www$\AcademicPrograms_fix.htm, \, .htm, 2539B, 2006/03/31, 2005/07/14, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\AcademicPrograms_fix2.htm, \, .htm, 2511B, 2006/03/31, 2005/07/14, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\ada2.jpg, \, .jpg, 774B, 2008/07/14, 2008/07/14, 0, BYUI\jsm2
\\lehi3\www$\ApplicationsManagement.dll, \, .dll, 36864B, 2006/03/31, 2001/07/10, 0, BUILTIN\Administrators
\\lehi3\www$\arrow.gif, \, .gif, 61B, 2006/03/31, 2004/12/28, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\Art.pdf, \, .pdf, 215095B, 2016/04/08, 2015/12/18, 0, BUILTIN\Administrators
\\lehi3\www$\AudacityScreen.gif, \, .gif, 2794B, 2010/01/13, 2010/01/13, 0, BYUI\schaatg
\\lehi3\www$\catalog-archive.zip, \, .zip, 175445552B, 2012/06/07, 2012/06/07, 0, BUILTIN\Administrators
\\lehi3\www$\central.asp, \, .asp, 438B, 2014/01/15, 2013/12/26, 0, BYUI\mtaylor7
\\lehi3\www$\ClubExplanation.htm, \, .htm, 1995B, 2006/03/31, 2007/03/29, 0, BUILTIN\Administrators
\\lehi3\www$\CommonEmail.html, \, .html, 9172B, 2008/06/18, 2012/01/20, 0, S-1-5-21-1606980848-308236825-1801674531-84305
\\lehi3\www$\contacts.htm, \, .htm, 8906B, 2009/09/01, 2009/09/01, 0, BUILTIN\Administrators
\\lehi3\www$\Copy (2) of default.htm, \, .htm, 16431B, 2008/01/22, 2008/01/04, 0, BUILTIN\Administrators
\\lehi3\www$\Copy (3) of default.htm, \, .htm, 15196B, 2013/12/11, 2012/01/17, 0, BUILTIN\Administrators
\\lehi3\www$\Copy of default.htm, \, .htm, 16053B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\Copy of test.htm, \, .htm, 16117B, 2009/10/19, 2012/01/19, 0, BYUI\adam83
\\lehi3\www$\crossdomain.xml, \, .xml, 240B, 2009/02/13, 2009/02/13, 0, BYUI\squireso
\\lehi3\www$\default (2).htm, \, .htm, 17760B, 2006/03/31, 2010/10/14, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\default-before_net_upgrade.htm, \, .htm, 16859B, 2009/07/12, 2009/06/12, 0, BUILTIN\Administrators
\\lehi3\www$\default-May2011.htm, \, .htm, 19318B, 2006/03/31, 2011/05/03, 0, BYUI\pboss
\\lehi3\www$\default-Nov2011.htm, \, .htm, 15184B, 2011/05/02, 2011/10/07, 0, BYUI\millsr
\\lehi3\www$\default-Oct2011.htm, \, .htm, 15184B, 2011/10/16, 2011/10/07, 0, BUILTIN\Administrators
\\lehi3\www$\default.htm, \, .htm, 14297B, 2011/05/02, 2013/12/11, 0, BUILTIN\Administrators
\\lehi3\www$\default.htm.bak, \, .bak, 16439B, 2006/03/31, 2012/01/19, 0, BUILTIN\Administrators
\\lehi3\www$\default.htm.old.2007-25-09, \, .2007-25-09, 16443B, 2007/09/25, 2012/01/19, 0, BYUI\darickc
\\lehi3\www$\default2.htm, \, .htm, 16482B, 2007/01/05, 2012/01/19, 0, BUILTIN\Administrators
\\lehi3\www$\default3.htm, \, .htm, 16432B, 2007/12/20, 2007/12/20, 0, BYUI\jsm2
\\lehi3\www$\defaultCSS.htm, \, .htm, 11598B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\defaultJ.htm, \, .htm, 17860B, 2010/03/02, 2010/03/02, 0, BYUI\skabone
\\lehi3\www$\defaultnew.htm, \, .htm, 16929B, 2006/03/31, 2010/01/15, 0, BUILTIN\Administrators
\\lehi3\www$\defaultnew.htm.bak, \, .bak, 16439B, 2006/03/31, 2012/01/19, 0, BUILTIN\Administrators
\\lehi3\www$\defaultpaul.htm, \, .htm, 19246B, 2006/03/31, 2011/09/01, 0, BYUI\pboss
\\lehi3\www$\defaulttext.asp, \, .asp, 12946B, 2006/03/31, 2006/11/29, 0, BUILTIN\Administrators
\\lehi3\www$\defaulttext.htm, \, .htm, 10566B, 2008/01/23, 2010/05/03, 0, BUILTIN\Administrators
\\lehi3\www$\defaulttext1.asp, \, .asp, 14796B, 2006/03/31, 2004/10/14, 0, S-1-5-21-1606980848-308236825-1801674531-17679
